Date,Percentage change
09/12/2014,-0.00024
10/12/2014,-0.01635
11/12/2014,0.00453
12/12/2014,-0.01621
15/12/2014,-0.00634
16/12/2014,-0.00849
17/12/2014,0.02035
18/12/2014,0.02402
19/12/2014,0.00457
22/12/2014,0.00381
23/12/2014,0.00175
24/12/2014,-0.00014
26/12/2014,0.00331
29/12/2014,0.00087
30/12/2014,-0.00489
31/12/2014,-0.01031
02/01/2015,-0.00034
05/01/2015,-0.01828
06/01/2015,-0.00889
07/01/2015,0.01163
08/01/2015,0.01789
09/01/2015,-0.00841
12/01/2015,-0.00809
13/01/2015,-0.00258
14/01/2015,-0.00581
15/01/2015,-0.00925
16/01/2015,0.01342
20/01/2015,0.00155
21/01/2015,0.00473
22/01/2015,0.01527
23/01/2015,-0.00549
26/01/2015,0.00257
27/01/2015,-0.01339
28/01/2015,-0.01350
29/01/2015,0.00954
30/01/2015,-0.01299
02/02/2015,0.01296
03/02/2015,0.01444
04/02/2015,-0.00416
05/02/2015,0.01029
06/02/2015,-0.00342
09/02/2015,-0.00425
10/02/2015,0.01068
11/02/2015,-0.00003
12/02/2015,0.00965
13/02/2015,0.00407
17/02/2015,0.00160
18/02/2015,-0.00032
19/02/2015,-0.00106
20/02/2015,0.00613
23/02/2015,-0.00031
24/02/2015,0.00276
25/02/2015,-0.00077
26/02/2015,-0.00148
27/02/2015,-0.00296
02/03/2015,0.00612
03/03/2015,-0.00454
04/03/2015,-0.00439
05/03/2015,0.00120
06/03/2015,-0.01417
09/03/2015,0.00394
10/03/2015,-0.01696
11/03/2015,-0.00192
12/03/2015,0.01261
13/03/2015,-0.00608
16/03/2015,0.01354
17/03/2015,-0.00332
18/03/2015,0.01216
19/03/2015,-0.00487
20/03/2015,0.00901
23/03/2015,-0.00174
24/03/2015,-0.00614
25/03/2015,-0.01456
26/03/2015,-0.00238
27/03/2015,0.00237
30/03/2015,0.01223
31/03/2015,-0.00880
01/04/2015,-0.00396
02/04/2015,0.00353
06/04/2015,0.00661
07/04/2015,-0.00206
08/04/2015,0.00268
09/04/2015,0.00446
10/04/2015,0.00520
13/04/2015,-0.00458
14/04/2015,0.00163
15/04/2015,0.00515
16/04/2015,-0.00078
17/04/2015,-0.01131
20/04/2015,0.00924
21/04/2015,-0.00148
22/04/2015,0.00509
23/04/2015,0.00236
24/04/2015,0.00225
27/04/2015,-0.00414
28/04/2015,0.00277
29/04/2015,-0.00374
30/04/2015,-0.01013
01/05/2015,0.01092
04/05/2015,0.00294
05/05/2015,-0.01184
06/05/2015,-0.00446
07/05/2015,0.00377
08/05/2015,0.01346
11/05/2015,-0.00509
12/05/2015,-0.00295
13/05/2015,-0.00030
14/05/2015,0.01078
15/05/2015,0.00077
18/05/2015,0.00305
19/05/2015,-0.00065
20/05/2015,-0.00093
21/05/2015,0.00234
22/05/2015,-0.00223
26/05/2015,-0.01028
27/05/2015,0.00916
28/05/2015,-0.00126
29/05/2015,-0.00632
01/06/2015,0.00206
02/06/2015,-0.00101
03/06/2015,0.00212
04/06/2015,-0.00862
05/06/2015,-0.00144
08/06/2015,-0.00647
09/06/2015,0.00042
10/06/2015,0.01204
11/06/2015,0.00174
12/06/2015,-0.00699
15/06/2015,-0.00462
16/06/2015,0.00569
17/06/2015,0.00198
18/06/2015,0.00990
19/06/2015,-0.00530
22/06/2015,0.00609
23/06/2015,0.00064
24/06/2015,-0.00735
25/06/2015,-0.00297
26/06/2015,-0.00039
29/06/2015,-0.02086
30/06/2015,0.00266
01/07/2015,0.00694
02/07/2015,-0.00031
06/07/2015,-0.00386
07/07/2015,0.00608
08/07/2015,-0.01665
09/07/2015,0.00226
10/07/2015,0.01234
13/07/2015,0.01107
14/07/2015,0.00446
15/07/2015,-0.00074
16/07/2015,0.00801
